filename,filepath,label,height,width,format,mode
face00001,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00001.jpg,face,19,19,JPEG,RGB
face00002,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00002.jpg,face,19,19,JPEG,RGB
face00003,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00003.jpg,face,19,19,JPEG,RGB
face00004,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00004.jpg,face,19,19,JPEG,RGB
face00005,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00005.jpg,face,19,19,JPEG,RGB
face00006,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00006.jpg,face,19,19,JPEG,RGB
face00007,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00007.jpg,face,19,19,JPEG,RGB
face00008,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00008.jpg,face,19,19,JPEG,RGB
face00009,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00009.jpg,face,19,19,JPEG,RGB
face00010,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00010.jpg,face,19,19,JPEG,RGB
face00011,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00011.jpg,face,19,19,JPEG,RGB
face00012,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00012.jpg,face,19,19,JPEG,RGB
face00013,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00013.jpg,face,19,19,JPEG,RGB
face00014,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00014.jpg,face,19,19,JPEG,RGB
face00015,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00015.jpg,face,19,19,JPEG,RGB
face00016,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00016.jpg,face,19,19,JPEG,RGB
face00017,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00017.jpg,face,19,19,JPEG,RGB
face00018,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00018.jpg,face,19,19,JPEG,RGB
face00019,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00019.jpg,face,19,19,JPEG,RGB
face00020,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00020.jpg,face,19,19,JPEG,RGB
face00021,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00021.jpg,face,19,19,JPEG,RGB
face00022,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00022.jpg,face,19,19,JPEG,RGB
face00023,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00023.jpg,face,19,19,JPEG,RGB
face00024,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00024.jpg,face,19,19,JPEG,RGB
face00025,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00025.jpg,face,19,19,JPEG,RGB
face00026,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00026.jpg,face,19,19,JPEG,RGB
face00027,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00027.jpg,face,19,19,JPEG,RGB
face00028,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00028.jpg,face,19,19,JPEG,RGB
face00029,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00029.jpg,face,19,19,JPEG,RGB
face00030,C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00030.jpg,face,19,19,JPEG,RGB
