filepath,label,label_str,filename,height,width,format,mode
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00001.jpg,1,face,face00001,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00002.jpg,1,face,face00002,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00003.jpg,1,face,face00003,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00004.jpg,1,face,face00004,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00005.jpg,1,face,face00005,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00006.jpg,1,face,face00006,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00007.jpg,1,face,face00007,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00008.jpg,1,face,face00008,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00009.jpg,1,face,face00009,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00010.jpg,1,face,face00010,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00011.jpg,1,face,face00011,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00012.jpg,1,face,face00012,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00013.jpg,1,face,face00013,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00014.jpg,1,face,face00014,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00015.jpg,1,face,face00015,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00016.jpg,1,face,face00016,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00017.jpg,1,face,face00017,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00018.jpg,1,face,face00018,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00019.jpg,1,face,face00019,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00020.jpg,1,face,face00020,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00021.jpg,1,face,face00021,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00022.jpg,1,face,face00022,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00023.jpg,1,face,face00023,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00024.jpg,1,face,face00024,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00025.jpg,1,face,face00025,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00026.jpg,1,face,face00026,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00027.jpg,1,face,face00027,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00028.jpg,1,face,face00028,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00029.jpg,1,face,face00029,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00030.jpg,1,face,face00030,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00031.jpg,1,face,face00031,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00032.jpg,1,face,face00032,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00033.jpg,1,face,face00033,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00034.jpg,1,face,face00034,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00035.jpg,1,face,face00035,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00036.jpg,1,face,face00036,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00037.jpg,1,face,face00037,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00038.jpg,1,face,face00038,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00039.jpg,1,face,face00039,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00040.jpg,1,face,face00040,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00041.jpg,1,face,face00041,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00042.jpg,1,face,face00042,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00043.jpg,1,face,face00043,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00044.jpg,1,face,face00044,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00045.jpg,1,face,face00045,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00046.jpg,1,face,face00046,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00047.jpg,1,face,face00047,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00048.jpg,1,face,face00048,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00049.jpg,1,face,face00049,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00050.jpg,1,face,face00050,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00051.jpg,1,face,face00051,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00052.jpg,1,face,face00052,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00053.jpg,1,face,face00053,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00054.jpg,1,face,face00054,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00055.jpg,1,face,face00055,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00056.jpg,1,face,face00056,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00057.jpg,1,face,face00057,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00058.jpg,1,face,face00058,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00059.jpg,1,face,face00059,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00060.jpg,1,face,face00060,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00061.jpg,1,face,face00061,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00062.jpg,1,face,face00062,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00063.jpg,1,face,face00063,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00064.jpg,1,face,face00064,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00065.jpg,1,face,face00065,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00066.jpg,1,face,face00066,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00067.jpg,1,face,face00067,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00068.jpg,1,face,face00068,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00069.jpg,1,face,face00069,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00070.jpg,1,face,face00070,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00071.jpg,1,face,face00071,19,19,JPEG,RGB
C:\Users\Noam\PycharmProjects\Jubaan\data\train\face\face00072.jpg,1,face,face00072,19,19,JPEG,RGB
